RANK,AFTER_POPULATE_DISTANCE_MATRIX,AFTER_INIT,AFTER_STACK_TO_ARRAY,AFTER_BCAST,AFTER_SCATTER,AFTER_ARRAY_TO_STACK,AFTER_CALCULATION,AFTER_GATHER,AFTER_FINDING_BEST,EMPTY,NPROCS
35,0.008337,0.008345,0.008345,0.028521,0.088931,0.088931,4.249916,4.250587,4.250587,0.000000,
47,0.007794,0.007802,0.007802,0.029606,0.133100,0.133100,4.250415,4.250983,4.250983,0.000000,
24,0.007338,0.007346,0.007347,0.021736,0.053091,0.053091,4.249577,4.250943,4.250944,0.000000,
26,0.007675,0.007683,0.007683,0.022077,0.060507,0.060508,4.249730,4.250322,4.250323,0.000000,
9,0.008300,0.008308,0.008309,0.022957,0.024178,0.024179,4.250362,4.250787,4.250787,0.000000,
4,0.008234,0.008242,0.008243,0.022700,0.022900,0.022901,4.250381,4.251805,4.251805,0.000000,

12,0.008743,0.008751,0.008751,0.023193,0.025055,0.025055,4.250493,4.251912,4.251912,0.000000,
8,0.008558,0.008566,0.008567,0.022492,0.023502,0.023502,4.250211,4.251850,4.251850,0.000000,
55,0.006303,0.006307,0.006307,0.028365,0.161314,0.161314,4.248501,4.248645,4.248646,0.000000,
0,0.008482,0.009101,0.009152,0.022138,0.189624,0.189624,4.250042,4.254124,4.254125,0.000000,
61,0.006518,0.006522,0.006523,0.028511,0.182033,0.182033,4.249073,4.249236,4.249236,0.000000,
62,0.006132,0.006136,0.006136,0.028462,0.185474,0.185475,4.249057,4.249230,4.249230,0.000000,
48,0.006396,0.006399,0.006400,0.027955,0.138702,0.138702,4.248835,4.249520,4.249520,0.000000,
35,0.005894,0.005902,0.005903,0.018541,0.429276,0.429276,4.583719,4.584103,4.584103,0.000000,
36,0.005955,0.005965,0.005965,0.018160,0.432866,0.432867,4.583939,4.584856,4.584856,0.000000,
10,0.005617,0.005625,0.005625,0.014522,0.015869,0.015869,4.584348,4.585245,4.585245,0.000000,
13,0.005670,0.005679,0.005679,0.015250,0.016978,0.016978,4.584746,4.585377,4.585377,0.000000,8,0.005833,0.005842,0.005842,0.014513,0.015462,0.015462,4.584719,4.586198,4.586198,0.000000,

0,0.005575,0.006234,0.006284,0.013814,0.526622,0.526622,4.584341,4.586130,4.586131,0.000000,

56,0.004615,0.004619,0.004619,0.017528,0.501683,0.501683,4.582355,4.583181,4.583181,0.000000,
49,0.005756,0.005764,0.005764,0.023899,0.419347,0.419347,4.529229,4.529469,4.529469,0.000000,
55,0.005483,0.005491,0.005491,0.024766,0.440743,0.440743,4.529097,4.529342,4.529342,0.000000,
19,0.006611,0.006619,0.006619,0.017738,0.135693,0.135693,4.530571,4.530965,4.530965,0.000000,
3,0.005986,0.005994,0.005995,0.018763,0.019136,0.019136,4.531491,4.531818,4.531818,0.000000,

8,0.006126,0.006135,0.006135,0.018312,0.019373,0.019373,4.531438,4.533015,4.533015,0.000000,

46,0.007274,0.007283,0.007283,0.025527,0.410069,0.410069,4.530963,4.531755,4.531755,0.000000,
0,0.006208,0.006835,0.006884,0.017766,0.471235,0.471235,4.531195,4.533308,4.533309,0.000000,
58,0.005507,0.005515,0.005516,0.018642,0.424693,0.424693,4.496255,4.496795,4.496795,0.000000,
60,0.005563,0.005571,0.005572,0.018654,0.432021,0.432022,4.496258,4.497193,4.497193,0.000000,
10,0.006547,0.006556,0.006556,0.015176,0.016451,0.016451,4.498673,4.499664,4.499664,0.000000,
29,0.006222,0.006230,0.006231,0.014879,0.325260,0.325260,4.497990,4.498278,4.498278,0.000000,
16,0.005911,0.005919,0.005919,0.013577,0.016481,0.016481,4.497489,4.498778,4.498778,0.000000,
0,0.006237,0.006911,0.006963,0.014418,0.444235,0.444235,4.498594,4.501974,4.501975,0.000000,
52,0.005773,0.005781,0.005781,0.018452,0.389560,0.389560,4.489152,4.489786,4.489786,0.000000,
54,0.005439,0.005446,0.005447,0.018466,0.396120,0.396121,4.488894,4.489157,4.489157,0.000000,
5,0.005905,0.005916,0.005916,0.016457,0.020754,0.020754,4.491733,4.492169,4.492169,0.000000,

4,0.006065,0.006073,0.006074,0.015237,0.015458,0.015458,4.491686,4.493029,4.493029,0.000000,

0,0.006177,0.006802,0.006856,0.014711,0.430743,0.430744,4.491450,4.494660,4.494661,0.000000,
