RANK,AFTER_POPULATE_DISTANCE_MATRIX,AFTER_INIT,AFTER_STACK_TO_ARRAY,AFTER_BCAST,AFTER_SCATTER,AFTER_ARRAY_TO_STACK,AFTER_CALCULATION,AFTER_GATHER,AFTER_FINDING_BEST,EMPTY,NPROCS
3,0.003520,0.003521,0.003521,0.005166,0.005372,0.005373,6.006333,6.006566,6.006566,0.000000,
0,0.003610,0.004200,0.004202,0.004664,0.004983,0.004983,6.006315,6.006659,6.006659,0.000000,
3,0.002062,0.002064,0.002064,0.003533,0.003734,0.003734,6.004875,6.005167,6.005167,0.000000,
0,0.001939,0.002607,0.002608,0.003049,0.003325,0.003325,6.004889,6.005355,6.005355,0.000000,
2,0.001685,0.001686,0.001687,0.003038,0.003076,0.003076,6.004542,6.004909,6.004909,0.000000,
3,0.001655,0.001658,0.001659,0.003252,0.003523,0.003523,6.004465,6.004706,6.004706,0.000000,
0,0.001595,0.002160,0.002161,0.002648,0.002973,0.002973,6.004419,6.004811,6.004812,0.000000,
1,0.003139,0.003141,0.003141,0.009810,0.009853,0.009853,6.013469,6.013511,6.013511,0.000000,
2,0.003034,0.003035,0.003035,0.009327,0.009398,0.009398,6.013507,6.021144,6.021144,0.000000,
0,0.003163,0.003698,0.003699,0.009090,0.009249,0.009249,6.013463,6.021120,6.021120,0.000000,
3,0.003741,0.003742,0.003742,0.004593,0.004693,0.004693,8.005363,8.005527,8.005527,0.000000,
1,0.003817,0.003818,0.003819,0.004450,0.004463,0.004463,8.005376,8.005536,8.005536,0.000000,
0,0.003845,0.004006,0.004007,0.004292,0.004469,0.004470,8.005371,8.005588,8.005588,0.000000,
