RANK,AFTER_POPULATE_DISTANCE_MATRIX,AFTER_INIT,AFTER_STACK_TO_ARRAY,AFTER_BCAST,AFTER_SCATTER,AFTER_ARRAY_TO_STACK,AFTER_CALCULATION,AFTER_GATHER,AFTER_FINDING_BEST,EMPTY,NPROCS
53,0.007359,0.007365,0.007366,0.023477,0.170063,0.170063,4.574857,4.575174,4.575174,0.000000,
58,0.007799,0.007803,0.007804,0.023589,0.185992,0.185992,4.574821,4.575299,4.575299,0.000000,
47,0.007589,0.007593,0.007593,0.023534,0.151838,0.151838,4.574976,4.578103,4.578103,0.000000,
39,0.008935,0.008944,0.008945,0.025739,0.125449,0.125450,4.577372,4.577716,4.577716,0.000000,

1,0.008243,0.008252,0.008252,0.020548,0.020608,0.020609,4.577343,4.577738,4.577738,0.000000,

84,0.006062,0.006071,0.006072,0.030369,0.270702,0.270703,4.576436,4.577412,4.577412,0.000000,

25,0.009918,0.009927,0.009928,0.019760,0.080223,0.080223,4.576025,4.576414,4.576414,0.000000,
26,0.009937,0.009946,0.009946,0.020016,0.083716,0.083716,4.576007,4.576984,4.576984,0.000000,
108,0.008880,0.008908,0.008908,0.056925,0.350803,0.350803,4.575459,4.582702,4.582702,0.000000,72,0.009499,0.009508,0.009509,0.029928,0.229936,0.229936,4.576133,4.583408,4.583408,0.000000,
32,0.009412,0.009421,0.009421,0.025383,0.101847,0.101847,4.577092,4.588422,4.588422,0.000000,
64,0.009731,0.009740,0.009741,0.029465,0.202887,0.202888,4.575956,4.595148,4.595148,0.000000,

0,0.007637,0.008311,0.008367,0.020346,0.414130,0.414130,4.577376,4.597113,4.597115,0.000000,
21,0.011365,0.011380,0.011381,0.022107,0.044983,0.044983,4.561023,4.561358,4.561358,0.000000,

52,0.008886,0.008892,0.008893,0.026305,0.145330,0.145330,4.561310,4.561964,4.561964,0.000000,

13,0.009634,0.009646,0.009647,0.023582,0.025752,0.025752,4.562131,4.562511,4.562511,0.000000,
