RANK,AFTER_POPULATE_DISTANCE_MATRIX,AFTER_INIT,AFTER_STACK_TO_ARRAY,AFTER_BCAST,AFTER_SCATTER,AFTER_ARRAY_TO_STACK,AFTER_CALCULATION,AFTER_GATHER,AFTER_FINDING_BEST,EMPTY,NPROCS
102,0.010899,0.010908,0.010908,0.037249,0.313320,0.313320,4.561223,4.561935,4.561935,0.000000,69,0.008128,0.008137,0.008137,0.029874,0.198261,0.198261,4.562361,4.562749,4.562749,0.000000,

51,0.009075,0.009082,0.009082,0.026128,0.142282,0.142283,4.561292,4.561624,4.561624,0.000000,
110,0.010890,0.010899,0.010899,0.037413,0.341179,0.341179,4.561286,4.567981,4.567981,0.000000,132,0.009141,0.009150,0.009151,0.026761,0.079664,0.079665,4.561846,4.573935,4.573935,0.000000,
860,0.008802,0.008806,0.008806,0.026631,0.170601,0.170601,4.561311,4.568304,4.568304,0.000000,
48,0.008975,0.008979,0.008980,0.026031,0.132999,0.132999,4.561290,4.572976,4.572976,0.000000,

58,0.006702,0.006707,0.006708,0.024883,0.157869,0.157870,4.545356,4.545860,4.545860,0.000000,
55,0.006911,0.006915,0.006916,0.024403,0.148417,0.148417,4.545220,4.545537,4.545537,0.000000,
21,0.008815,0.008824,0.008825,0.019650,0.041839,0.041839,4.546222,4.546582,4.546582,0.000000,

669,0.008405,0.008414,0.008415,0.028843,0.189796,0.189796,4.546010,4.546465,4.546465,0.000000,
44,0.008228,0.008240,0.008241,0.026140,0.115855,0.115856,4.546485,4.550574,4.550574,0.000000,

126,0.008470,0.008482,0.008483,0.034098,0.376380,0.376380,4.544114,4.548612,4.548612,0.000000,
63,0.008446,0.008455,0.008455,0.028069,0.170824,0.170824,4.545989,4.552796,4.552796,0.000000,

108,0.008625,0.008633,0.008634,0.034774,0.318046,0.318046,4.545489,4.552935,4.552935,0.000000,664,0.008890,0.008905,0.008906,0.028392,0.173830,0.173830,4.546106,4.563071,4.563071,0.000000,
48,0.006778,0.006782,0.006783,0.024457,0.127494,0.127494,4.545268,4.557795,4.557795,0.000000,
0,0.006975,0.007675,0.007730,0.020404,0.379581,0.379581,4.547504,4.566376,4.566378,0.000000,
59,0.008159,0.008164,0.008165,0.026409,0.167742,0.167743,4.557727,4.558037,4.558037,0.000000,
57,0.008715,0.008721,0.008721,0.026421,0.161334,0.161334,4.557671,4.558011,4.558011,0.000000,
51,0.008291,0.008300,0.008301,0.026405,0.142559,0.142559,4.557788,4.558091,4.558091,0.000000,
79,0.009475,0.009485,0.009485,0.023199,0.024227,0.024227,4.559535,4.559814,4.559814,0.000000,


118,0.010947,0.010983,0.010983,0.036823,0.361423,0.361423,4.556425,4.557060,4.557061,0.000000,14,0.009697,0.009706,0.009706,0.023217,0.025644,0.025644,4.559531,4.564543,4.564543,0.000000,

126,0.011054,0.011066,0.011066,0.037485,0.389249,0.389249,4.556430,4.561028,4.561028,0.000000,1111,0.011184,0.011193,0.011194,0.035940,0.338400,0.338401,4.556421,4.561908,4.561908,0.000000,
3,0.010976,0.011002,0.011002,0.028577,0.177365,0.177365,4.557922,4.564564,4.564564,0.000000,
112,0.010399,0.010409,0.010409,0.036291,0.341702,0.341702,4.556461,4.567944,4.567944,0.000000,64,0.011347,0.011356,0.011357,0.028851,0.180526,0.180526,4.557986,4.575450,4.575450,0.000000,
0,0.009309,0.009986,0.010074,0.022335,0.392130,0.392131,4.559538,4.577591,4.577592,0.000000,
11,0.008370,0.008379,0.008380,0.022085,0.023350,0.023350,4.539068,4.539440,4.539440,0.000000,

5,0.007619,0.007628,0.007629,0.021539,0.022018,0.022018,4.539110,4.539550,4.539550,0.000000,


42,0.010960,0.010968,0.010969,0.026350,0.111008,0.111008,4.538525,4.539279,4.539279,0.000000,

28,0.010165,0.010174,0.010174,0.020794,0.067898,0.067899,4.537894,4.543729,4.543729,0.000000,
44,0.010716,0.010731,0.010732,0.026175,0.117991,0.117991,4.538584,4.545018,4.545018,0.000000,
8104,0.009172,0.009182,0.009183,0.037972,0.307339,0.307339,4.538769,4.544865,4.544865,0.000000,1156,0.007849,0.007853,0.007854,0.024750,0.154178,0.154178,4.537924,4.545744,4.545744,0.000000,464,0.009493,0.009502,0.009502,0.029945,0.175643,0.175643,4.538612,4.558866,4.558866,0.000000,
