RANK,AFTER_POPULATE_DISTANCE_MATRIX,AFTER_INIT,AFTER_STACK_TO_ARRAY,AFTER_BCAST,AFTER_SCATTER,AFTER_ARRAY_TO_STACK,AFTER_CALCULATION,AFTER_GATHER,AFTER_FINDING_BEST,EMPTY,NPROCS
1,0.007133,0.007134,0.007134,0.008618,0.008745,0.008746,6.082484,6.082995,6.082995,0.000000,

10,0.006431,0.006433,0.006433,0.009028,0.010335,0.010336,6.082515,6.083912,6.083912,0.000000,
8,0.007171,0.007173,0.007173,0.008745,0.009530,0.009530,6.082494,6.085593,6.085593,0.000000,
0,0.006558,0.007167,0.007230,0.008248,0.011162,0.011162,6.082526,6.085645,6.085645,0.000000,
14,0.007093,0.007094,0.007094,0.009372,0.011374,0.011375,6.072653,6.073648,6.073649,0.000000,210,0.007184,0.007186,0.007186,0.008997,0.010325,0.010325,6.072668,6.073890,6.073890,0.000000,8,0.006168,0.006170,0.006170,0.008610,0.009518,0.009518,6.072671,6.075607,6.075607,0.000000,
0,0.006622,0.007229,0.007297,0.008228,0.011285,0.011286,6.072675,6.075651,6.075651,0.000000,
11,0.007670,0.007671,0.007671,0.009556,0.010912,0.010912,6.124652,6.125145,6.125145,0.000000,1,0.007337,0.007338,0.007338,0.008799,0.008881,0.008882,6.124649,6.125354,6.125354,0.000000,

6,0.007605,0.007606,0.007607,0.009346,0.009842,0.009843,6.124650,6.127276,6.127276,0.000000,

12,0.007507,0.007509,0.007509,0.009399,0.011129,0.011129,6.124667,6.127886,6.127886,0.000000,0,0.006827,0.007435,0.007494,0.008442,0.011570,0.011570,6.124662,6.128008,6.128008,0.000000,
15,0.006400,0.006402,0.006402,0.010164,0.139684,0.139684,6.142356,6.143152,6.143152,0.000000,
14,0.006640,0.006641,0.006641,0.009515,0.011183,0.011183,6.142080,6.143444,6.143444,0.000000,12,0.006940,0.006941,0.006942,0.009232,0.010969,0.010969,6.142318,6.145187,6.145187,0.000000,
0,0.006799,0.007399,0.007468,0.008403,0.011339,0.011339,6.142335,6.145549,6.145549,0.000000,
11,0.006152,0.006153,0.006153,0.016270,0.017483,0.017484,6.040910,6.041323,6.041323,0.000000,52,0.006308,0.006309,0.006309,0.015191,0.015272,0.015272,6.040765,6.041537,6.041537,0.000000,

0,0.005920,0.006536,0.006599,0.014542,0.017400,0.017401,6.040416,6.047637,6.047637,0.000000,

