num_cities,num_procs,speed,num_cores,milestone,length,route
16,10,470.202529,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,1,0.002323,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,2,0.003101,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,3,0.006662,0,Milestone 2,1568.914868,0 1 5 3 4 2 
16,3,25.238055,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,4,0.007767,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,5,0.012219,0,Milestone 2,1568.914868,0 1 5 3 4 2 
16,16,18.339949,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,6,0.008969,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,7,0.009004,0,Milestone 2,1568.914868,0 1 5 3 4 2 
16,7,28.425117,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,8,0.012596,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,9,0.003530,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,10,0.003692,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,16,0.009495,0,Milestone 2,1568.914868,0 1 5 3 4 2 
17,1,344.293349,0,Milestone 2,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
12,1,0.178723,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.124703,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.105657,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
16,1,42.222343,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
12,4,0.094071,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
16,6,41.045788,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,2,42.728092,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,4,43.267519,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
12,5,0.106561,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.096182,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.236406,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,8,0.221004,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,9,0.143223,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.119608,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.220402,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,16,0.126815,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
13,1,0.547104,0,Milestone 2,1760.045085,0 12 2 6 4 3 8 11 7 5 10 9 1 
13,2,0.455677,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,3,0.389092,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,4,0.420082,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,5,0.397761,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,6,0.296470,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,7,0.728317,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,8,0.800120,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,9,0.418095,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
16,10,46.059510,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
13,10,0.476347,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,32,0.709697,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
14,1,1.058096,0,Milestone 2,1760.101989,0 13 12 2 6 4 3 8 11 7 5 10 9 1 
16,5,56.232811,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
14,2,1.623909,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,3,1.193720,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,4,1.520814,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,6,1.350426,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,7,0.908479,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
