num_cities,num_procs,speed,num_cores,milestone,length,route
12,6,0.118932,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,8,0.122526,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.167803,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,3,0.130274,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.118914,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.141491,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,10,0.135338,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,9,0.141457,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.228945,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.160918,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.357578,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.147959,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,2,0.237564,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.363199,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.183268,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,2,0.224470,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,3,0.158163,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.351621,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,1,0.228939,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.092885,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.182914,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,6,0.129822,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.343081,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,7,0.130865,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,1,0.307390,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.170622,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,32,0.140122,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.162017,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.154847,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,8,0.107809,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,9,0.122560,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.184730,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.281425,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.188206,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.330203,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.131518,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,1,0.228268,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.149232,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,2,0.326709,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,1,0.324619,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.140904,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,3,0.118255,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.174984,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.115059,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.107541,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.123757,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,3,0.129981,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.180879,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,2,0.200192,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,8,0.125190,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.124218,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.228682,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,10,0.124544,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.127565,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,3,0.136599,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,9,0.143254,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.179905,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.146037,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.168154,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,9,0.132750,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.104208,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,8,0.122676,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.103990,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.117398,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,32,0.118417,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.127542,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.127131,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.142987,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,8,0.121818,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.105942,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,16,0.111113,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,9,0.136579,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,7,0.133690,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.118651,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.120113,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.136174,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,8,0.120613,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.123314,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.150678,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,5,0.109960,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.143232,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,10,0.092582,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.103270,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,5,0.119732,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,4,0.109794,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.119545,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,9,0.115974,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,8,0.122390,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.124579,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,8,0.103337,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.208641,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,7,0.123145,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.118301,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.144066,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,9,0.120042,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.117650,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.103158,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.113361,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,8,0.100428,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.172354,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,9,0.103485,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.119071,0,Milestone 3,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,64,0.210676,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.141513,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.088876,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.127967,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.121475,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,7,0.105313,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,9,0.151166,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,8,0.095191,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.197772,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.114543,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.099464,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.082194,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.095558,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.088338,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.101992,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.217126,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.103845,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.173127,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.125811,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.169746,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.175286,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.127757,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.109049,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.177769,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,32,0.104828,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.178242,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,64,0.196195,0,Milestone 3,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,128,0.311581,0,Milestone 3,1773.598543,0 10 1 9 5 7 11 8 3 4 6 2 
12,128,0.288829,0,Milestone 3,1773.598543,0 10 1 9 5 7 11 8 3 4 6 2 
12,128,0.284474,0,Milestone 3,1773.598543,0 10 1 9 5 7 11 8 3 4 6 2 
12,128,0.294137,0,Milestone 3,1773.598543,0 10 1 9 5 7 11 8 3 4 6 2 
12,128,0.284391,0,Milestone 3,1773.598543,0 10 1 9 5 7 11 8 3 4 6 2 
12,128,0.293874,0,Milestone 3,1773.598543,0 10 1 9 5 7 11 8 3 4 6 2 
12,128,0.286065,0,Milestone 3,1773.598543,0 10 1 9 5 7 11 8 3 4 6 2 
