num_cities,num_procs,speed,step,milestone,length,route
15,128,4.577592,2.0,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,128,4.561580,2.0,Milestone 4,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
17,128,60.910420,0.5,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,61.653696,0.5,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,61.788743,0.5,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,62.006882,0.5,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,61.883961,0.5,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,59.971943,2.0,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,59.984985,2.0,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,60.149579,2.0,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,60.016966,2.0,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
17,128,60.044966,2.0,Milestone 4,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
