num_cities,num_procs,speed,num_cores,CPU,length,route
13,7,0.915869,8,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
14,7,8.828372,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
13,8,0.791068,8,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
14,6,11.135761,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
13,10,0.667146,8,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,16,0.434432,8,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,32,0.434110,8,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
16,10,161.588094,2,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
13,5,14.924141,8,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,64,0.463539,8,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
14,1,1.433717,8,Cluster,1760.101989,0 13 12 2 6 4 3 8 11 7 5 10 9 1 
14,2,1.912858,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,3,2.015853,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,16,13.314644,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,9,17.627376,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,4,1.475490,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
16,10,64.454593,64,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
14,8,22.434734,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,6,1.587274,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
17,32,302.253627,8,Cluster,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
14,10,22.217901,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,7,1.225730,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
16,8,49.766113,4,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,7,71.517919,4,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
14,8,3.047519,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
15,1,8.928062,1,Cluster,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
14,64,8.415391,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,5,15.145878,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,32,11.320729,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,9,3.054255,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,16,1.706668,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
17,64,311.622154,8,Cluster,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
14,32,1.663074,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,64,1.509180,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
17,4,444.384957,8,Cluster,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
15,2,20.321467,1,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,1,4.377013,8,Cluster,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
16,16,24.969876,64,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
14,10,18.265266,8,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
15,3,20.984940,1,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,3,7.360578,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,2,11.219692,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
6,1,0.002477,32,Cluster,1568.914868,0 2 4 3 5 1 
15,4,10.070787,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
6,2,0.001502,32,Cluster,1568.914868,0 2 4 3 5 1 
17,5,1029.585825,2,Cluster,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
6,3,0.007934,32,Cluster,1568.914868,0 1 5 3 4 2 
16,16,72.891748,4,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,4,0.007171,32,Cluster,1568.914868,0 2 4 3 5 1 
15,4,29.729089,1,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
6,1,0.000706,2,Cluster,1568.914868,0 2 4 3 5 1 
15,7,6.945778,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
6,5,0.008408,32,Cluster,1568.914868,0 1 5 3 4 2 
6,2,0.009136,2,Cluster,1568.914868,0 2 4 3 5 1 
15,6,9.771939,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,5,31.203629,1,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
16,32,75.273701,4,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,3,0.001665,2,Cluster,1568.914868,0 1 5 3 4 2 
6,6,0.009646,32,Cluster,1568.914868,0 1 5 3 4 2 
6,4,0.000793,2,Cluster,1568.914868,0 2 4 3 5 1 
6,7,0.010794,32,Cluster,1568.914868,0 1 5 3 4 2 
6,5,0.001053,2,Cluster,1568.914868,0 1 5 3 4 2 
15,5,16.381259,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,8,11.016609,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
6,6,0.001649,2,Cluster,1568.914868,0 1 5 3 4 2 
6,8,0.013593,32,Cluster,1568.914868,0 1 5 3 4 2 
6,7,0.001716,2,Cluster,1568.914868,0 1 5 3 4 2 
6,8,0.000805,2,Cluster,1568.914868,0 1 5 3 4 2 
6,9,0.013200,32,Cluster,1568.914868,0 1 5 3 4 2 
6,9,0.004278,2,Cluster,1568.914868,0 1 5 3 4 2 
6,10,0.013822,32,Cluster,1568.914868,0 1 5 3 4 2 
6,10,0.002499,2,Cluster,1568.914868,0 1 5 3 4 2 
6,16,0.002352,2,Cluster,1568.914868,0 1 5 3 4 2 
6,16,0.013242,32,Cluster,1568.914868,0 1 5 3 4 2 
6,32,0.003259,2,Cluster,1568.914868,0 1 5 3 4 2 
17,8,384.342729,32,Cluster,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
15,9,15.527938,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
17,1,301.013345,16,Cluster,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
6,32,0.013952,32,Cluster,1568.914868,0 1 5 3 4 2 
12,1,0.223038,32,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,1,0.406873,2,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,2,0.193096,32,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
15,64,5.473260,8,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
12,3,0.134689,32,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.128744,32,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
